[282.64737, 1.8864124;
 67.108658, 3.2665339;
 151.33508, 4.1009364;
 266.62152, 4.4693518;
 20.757332, 6.0884132;
 174.62367, 8.3167706;
 113.13324, 9.5648165;
 182.66991, 12.744439;
 245.6254, 16.052448;
 42.068314, 20.904633;
 315.16782, 20.481537;
 373.61349, 21.19968;
 226.28825, 22.802586;
 290.46411, 22.797199;
 35.365803, 23.846878;
 100.0196, 24.390255;
 39.323776, 26.43051;
 80.14325, 26.695885;
 263.17593, 30.585409;
 227.17371, 32.027542;
 337.68979, 32.841774;
 57.80595, 33.498325;
 268.15182, 33.889957;
 252.06873, 34.852776;
 233.5929, 36.308632;
 82.635735, 38.579697;
 108.63416, 38.880024;
 95.095558, 41.58086;
 54.460606, 45.167091;
 322.48001, 49.545219;
 274.78583, 50.657188;
 145.97247, 55.050846;
 89.112717, 56.073578;
 169.44357, 56.684589;
 256.41284, 57.336643;
 107.17846, 60.328098;
 275.78946, 59.71447;
 163.98085, 60.539589;
 73.37188, 62.427891;
 88.635368, 62.685493;
 169.97899, 64.222359;
 310.59451, 64.244453;
 195.16658, 66.346664;
 85.323608, 67.405518;
 162.30003, 66.591293;
 106.70048, 67.720467;
 121.96765, 67.939262;
 285.82275, 70.220688;
 157.50217, 73.340591;
 258.55362, 72.61248;
 114.63908, 73.577309;
 95.410721, 76.263443;
 157.85252, 79.948708;
 239.70238, 80.164711;
 118.95455, 81.99411;
 96.004196, 82.957092;
 189.51396, 83.062202;
 123.34953, 89.09436;
 191.73817, 90.125015;
 105.19979, 90.862282;
 127.26797, 94.026085;
 238.43008, 95.283012;
 251.99376, 102.06278;
 23.061201, 102.8462;
 117.05022, 102.66735;
 162.40717, 103.90196;
 15.197041, 104.62856;
 27.474794, 105.43533;
 146.60551, 105.1021;
 371.57239, 106.41042;
 251.04169, 108.48857;
 116.25195, 109.06217;
 148.00601, 111.40826;
 155.27698, 110.83233;
 130.26251, 112.31498;
 175.66232, 112.44873;
 355.98007, 113.935;
 86.334846, 114.77992;
 108.72305, 114.88768;
 71.532059, 115.58511;
 189.13675, 116.07006;
 178.54298, 118.2523;
 206.35843, 117.77836;
 38.795662, 120.25304;
 384.29443, 120.33874;
