[425.93164, 47.418423;
 659.41266, 459.1521;
 1082.7426, 461.48462;
 1040.3285, 471.17889;
 217.55829, 476.68353;
 1150.4172, 483.04294;
 101.15137, 486.72693;
 247.98854, 488.3259;
 181.38116, 488.67252;
 110.56045, 491.19476;
 239.26266, 491.27292;
 367.90625, 493.10202;
 754.22888, 493.31815;
 1120.5123, 496.18671;
 1069.3174, 497.55164;
 238.23503, 501.15814;
 299.36844, 500.74338;
 562.46259, 500.55759;
 1045.0139, 502.19052;
 1301.702, 529.85571;
 71.015884, 537.05817;
 96.033005, 539.88647;
 349.30923, 541.8172;
 918.34448, 544.11127;
 1044.0823, 543.59894;
 1031.1096, 546.44318;
 18.251059, 553.74609;
 258.5929, 558.47119;
 1005.6428, 561.74634;
 1139.9343, 561.81989;
 178.41562, 562.79657;
 898.49957, 571.61676;
 909.35565, 584.13196;
 992.77545, 584.8656;
 1103.1456, 587.56262;
 970.87018, 589.12152;
 1011.8303, 594.28851;
 1025.3588, 599.97778;
 1340.6844, 603.20026;
 890.54803, 604.32739;
 900.70496, 606.51764;
 960.47571, 609.42719;
 951.44818, 612.28546;
 875.38855, 623.01746;
 331.03702, 626.34253;
 937.47357, 625.76404;
 970.7854, 634.97021;
 960.90302, 639.25836;
 976.02948, 643.39111;
 894.83014, 645.70215;
 949.56799, 646.11987;
 752.06946, 647.22186;
 812.40161, 651.38104;
 942.61829, 650.92896;
 169.50171, 654.37323;
 332.20618, 654.06354;
 412.13623, 655.13312;
 966.52692, 656.18439;
 133.92584, 662.74048;
 803.87457, 665.37018;
 667.33044, 680.71136;
 1436.363, 687.21356;
 821.58325, 688.17017;
 774.58148, 702.20844;
 706.62036, 705.41089;
 362.879, 706.74579;
 775.9682, 712.93597;
 871.64825, 715.71692;
 1031.6434, 721.91669;
 753.68799, 728.98901;
 739.42078, 731.35199;
 130.41261, 735.11414;
 786.38617, 739.30762;
 544.37207, 739.63269;
 753.98047, 739.86536;
 1435.1084, 743.56165;
 1361.7965, 745.8222;
 195.86505, 756.51001;
 802.21649, 761.35297;
 1399.5242, 761.56488;
 790.25494, 763.80841;
 731.41455, 766.41864;
 226.54671, 767.50635;
 1008.6087, 770.84235;
 787.58215, 771.93964;
 761.26544, 775.66138;
 128.64275, 783.7785;
 759.77405, 785.70264;
 942.15723, 786.60724;
 1062.1646, 789.45325;
 676.9668, 795.76459;
 1342.4839, 796.34601;
 748.25183, 798.95978;
 1417.7723, 800.05243;
 787.26978, 806.05945;
 770.78369, 806.51794;
 597.07819, 815.71777;
 608.10333, 820.24139;
 596.49603, 826.36041;
 724.98773, 826.00604;
 587.63727, 829.08527;
 31.856598, 836.67419;
 456.69565, 838.73248;
 611.06659, 841.64325;
 677.57434, 842.53992;
 718.7608, 843.81104;
 290.36938, 845.49835;
 312.91956, 847.79749;
 611.92224, 851.34375;
 684.93353, 852.65308;
 703.26331, 854.44733;
 605.68726, 855.24316;
 26.674826, 855.90179;
 700.70795, 865.40204;
 831.26489, 872.58105;
 681.22681, 874.33887;
 623.82013, 874.59314;
 553.72266, 876.58429;
 326.02728, 881.00891;
 392.60733, 881.50842;
 542.55603, 881.37823;
 1191.1162, 882.46484;
 972.33936, 887.27991;
 432.27817, 888.74829;
 1201.108, 890.66339;
 455.41113, 893.86945;
 533.77625, 897.98975;
 550.01263, 907.25226;
 450.98395, 913.03632;
 616.99707, 917.24799;
 660.43439, 917.14923;
 549.55286, 927.20544;
 511.62659, 927.50635;
 607.29309, 927.65698;
 530.13879, 936.18347;
 710.94757, 937.27917;
 541.45502, 937.8996;
 597.84326, 938.59192;
 586.14282, 943.21564;
 652.01056, 942.69446;
 504.4295, 951.15942;
 581.35645, 950.72961;
 496.68951, 957.44257;
 1385.348, 959.80469;
 1299.1777, 963.34613;
 500.9942, 969.2326;
 486.98343, 972.20447;
 848.53021, 972.53546;
 454.14749, 978.42328;
 498.18173, 978.15503;
 582.35162, 978.18835;
 1151.2338, 978.42902;
 477.80511, 979.60522;
 105.82764, 981.71729;
 469.31253, 981.82153;
 569.87518, 983.92859;
 1129.4617, 983.79626;
 453.25867, 986.05151;
 479.8978, 987.15863;
 460.7272, 988.58197;
 550.31354, 988.8512;
 468.99588, 990.4389;
 1146.7028, 990.80743;
 446.21887, 992.34967;
 1150.728, 998.03192;
 1080.0812, 1001.0428;
 447.52258, 1001.7072;
 472.39987, 1001.4815;
 1330.1161, 1005.3447;
 542.3938, 1007.8171;
 528.42676, 1013.5202;
 163.27435, 1019.4684;
 436.09219, 1018.8453;
 509.44107, 1022.3267;
 429.19159, 1025.2936;
 495.91138, 1024.5449;
 448.5314, 1026.3597;
 421.4061, 1034.2373;
 510.73563, 1035.2664;
 617.1413, 1035.4;
 231.63443, 1035.9652;
 246.84601, 1035.54;
 932.14154, 1035.5758;
 493.49652, 1037.2986;
 293.88058, 1043.9287;
 428.80002, 1057.453;
 1197.5958, 1059.8398;
 882.51428, 1063.1583;
 411.59756, 1071.8883;
 501.96655, 1076.0509;
 913.76312, 1081.5223;
 391.56796, 1082.2554;
 398.75418, 1081.8678;
 407.63412, 1081.8809;
 454.83075, 1091.3845;
 585.81232, 1091.3131;
 1258.7717, 1091.4823;
 1320.9604, 1092.5563;
 895.53912, 1096.1737;
 369.02216, 1096.5658;
 475.7724, 1097.0906;
 386.62527, 1099.493;
 1446.2451, 1105.8397;
 371.45557, 1106.8066;
 361.24451, 1108.0039;
 449.81351, 1114.4327;
 362.93903, 1116.5604;
 461.27802, 1118.2145;
 352.09094, 1124.9783;
 433.96289, 1126.4142;
 368.80298, 1128.1973;
 353.65244, 1132.4941;
 438.3111, 1135.3047;
 428.77695, 1139.5376;
 1234.0522, 1139.5725;
 361.09369, 1145.577;
 656.3833, 1146.4298;
 336.10437, 1146.8492;
 432.7547, 1147.5323;
 1181.1061, 1149.9496;
 418.50452, 1152.28;
 334.32132, 1155.8279;
 324.38495, 1157.8124;
 368.76163, 1159.4951;
 937.53979, 1162.048;
 378.56357, 1163.1292;
 334.41208, 1165.343;
 323.2099, 1171.8271;
 330.42511, 1178.3458;
 316.85349, 1184.0325;
 934.30084, 1183.4672;
 949.35358, 1195.7058;
 1394.0127, 1203.3281;
 964.60565, 1204.5393;
 70.919212, 1206.4086;
 1251.8328, 1206.502;
 359.63074, 1230.5277;
 1093.4327, 1230.5891;
 846.54602, 1231.5529;
 343.5354, 1233.1858;
 1079.6832, 1232.6494;
 1101.4307, 1234.2485;
 1069.4183, 1235.0796;
 1025.8372, 1239.5422;
 1206.3849, 1247.9534;
 748.3631, 1253.4622;
 1400.4663, 1259.4342;
 935.56702, 1270.3978;
 152.09177, 1277.4882;
 141.83598, 1279.6614;
 7.3686166, 1281.0173;
 341.19858, 1281.3419;
 95.361107, 1283.2971;
 1283.6201, 1284.5177;
 1273.6879, 1285.5148;
 140.4304, 1288.4063;
 940.13208, 1288.6031;
 1229.1351, 1302.0178;
 306.42383, 1310.3405;
 311.07742, 1331.2817;
 1109.1669, 1341.9435;
 956.55731, 1345.6195;
 1126.1473, 1345.5436;
 611.17126, 1346.9025;
 947.15436, 1346.8448;
 853.01624, 1349.4049;
 1111.3683, 1351.2599;
 1350.2937, 1350.6895;
 1407.7761, 1353.2234;
 516.96216, 1355.5898;
 358.42789, 1361.1196;
 1449.0791, 1360.8083;
 1358.2849, 1370.7;
 1299.2806, 1373.3152;
 58.200912, 1374.6587;
 1125.0327, 1375.9161;
 180.93762, 1376.467;
 65.840149, 1379.2131;
 1425.2037, 1379.1436;
 702.44836, 1381.1536;
 974.54187, 1381.855;
 123.37112, 1386.8462;
 313.0986, 1389.9553;
 412.8508, 1403.0695;
 567.20953, 1409.3683;
 215.58638, 1424.6722;
 291.54047, 1428.764;
 478.95984, 1444.0405;
 716.96191, 1444.1514;
 1221.9491, 1445.8467;
 913.22565, 1447.0677;
 154.82376, 11.468987;
 1284.3427, 12.87137;
 1022.7236, 13.96604;
 886.76996, 24.605242;
 590.00977, 29.292042;
 567.63409, 42.512432;
 425.25073, 46.955662;
 434.94785, 47.958431;
 625.05518, 62.756596;
 1325.6407, 66.447533;
 1001.6443, 66.624596;
 352.68842, 83.032974;
 954.54883, 114.84999;
 1364.1758, 115.13567;
 76.61161, 117.93992;
 343.58978, 119.21814;
 903.87952, 119.03253;
 1188.8522, 120.0204;
 1178.8552, 121.05893;
 491.8681, 126.06078;
 1110.2584, 125.92101;
 1428.171, 127.49639;
 503.12332, 130.39914;
 1189.5442, 131.82666;
 889.93744, 133.55519;
 1208.1438, 134.53078;
 880.24988, 134.63112;
 1271.7004, 134.63612;
 899.01251, 138.18196;
 1029.7275, 137.88713;
 1200.2246, 142.79056;
 165.12128, 144.24847;
 739.06146, 145.66188;
 1303.1248, 169.48064;
 1365.6702, 169.58665;
 1416.9457, 184.97995;
 949.85858, 187.17305;
 519.67834, 195.79666;
 100.76852, 197.20763;
 510.68524, 202.79364;
 1374.4214, 206.22658;
 112.52107, 221.79359;
 1271.5846, 241.14679;
 205.05367, 242.06267;
 874.09485, 249.33875;
 194.0898, 250.18245;
 903.53998, 251.36581;
 383.19003, 252.95648;
 863.68817, 255.12538;
 827.12347, 275.67563;
 1149.9547, 290.34323;
 80.782074, 301.67508;
 1133.4984, 310.5831;
 613.69977, 317.85358;
 1075.7952, 327.40576;
 864.06091, 330.90985;
 1114.1195, 333.09857;
 1123.7562, 337.94241;
 351.31598, 348.21259;
 1124.0541, 348.85742;
 1229.4366, 365.58377;
 1201.3713, 368.90491;
 288.5322, 370.54498;
 334.67447, 382.55481;
 395.9194, 383.51154;
 91.337532, 385.77167;
 1114.0642, 394.63889;
 1135.5443, 392.5571;
 893.36047, 398.75467;
 751.86694, 411.16983;
 900.55621, 415.36548;
 1170.9424, 428.98938;
 1183.6736, 428.96155;
 940.26508, 435.83569;
 1046.3711, 435.55643;
