[659.38257, 29.519396;
 750.83209, 33.411621;
 1134.3732, 76.116241;
 663.87372, 77.728546;
 674.59869, 77.971924;
 947.75507, 107.5006;
 93.594521, 126.87224;
 319.43018, 133.77341;
 685.27454, 135.44482;
 985.95892, 138.84132;
 686.3136, 148.30304;
 801.03436, 169.97163;
 802.4964, 178.25926;
 793.02014, 180.22731;
 464.47546, 190.3123;
 848.90509, 191.36336;
 387.82401, 196.81197;
 815.62579, 200.11456;
 739.56036, 210.72394;
 818.68903, 211.18239;
 829.68121, 212.12122;
 732.94006, 215.87645;
 453.03308, 218.95961;
 450.29752, 230.24001;
 440.28629, 232.51056;
 824.81256, 235.407;
 433.25452, 238.94165;
 740.53632, 239.89902;
 754.66077, 239.90245;
 1261.0016, 280.52853;
 1283.2892, 281.52545;
 1269.2877, 284.9194;
 1261.7375, 289.59018;
 562.76593, 293.93069;
 553.97668, 307.02689;
 525.67365, 313.50757;
 144.51039, 328.32251;
 118.04937, 329.29584;
 372.88315, 338.92313;
 430.05692, 354.04193;
 442.21329, 352.80975;
 798.43109, 359.39746;
 768.54047, 359.48242;
 765.91785, 366.90201;
 169.3942, 380.34818;
 1194.8596, 397.84506;
 813.6535, 457.76758;
 35.00769, 458.73056;
 28.923935, 464.11777;
 116.34753, 467.91943;
 407.26794, 476.68924;
 128.35027, 481.60138;
 343.63324, 489.46289;
 208.46887, 508.63181;
 362.01917, 510.52603;
 196.09517, 517.58917;
 794.60645, 546.54749;
 799.78748, 551.05444;
 819.27643, 573.81628;
 752.09149, 587.47272;
 420.12775, 591.9967;
 567.00269, 595.01984;
 812.32068, 594.66003;
 168.57156, 607.02277;
 303.78134, 637.69409;
 108.6112, 662.30188;
 220.51636, 673.06323;
 713.20032, 678.67926;
 179.13528, 716.21735;
 424.836, 723.73792;
 1187.6068, 723.67188;
 716.85205, 741.88458;
 768.29688, 779.02667;
 77.819237, 814.35242;
 781.05139, 824.1521;
 758.91614, 832.93219;
 765.3847, 886.33209;
 145.42703, 927.10583;
 1309.5647, 939.3371;
 1031.6512, 948.854;
 660.47864, 951.39355;
 1291.7836, 951.98694;
 1285.3818, 960.43335;
 712.34827, 970.89557;
 1168.0599, 1007.3924;
 62.38628, 1009.8606;
 1309.489, 1022.6155;
 676.83185, 1043.2239;
 658.15454, 1046.8326;
 561.26233, 1050.7323;
 92.976501, 1053.7588;
 1205.4111, 1073.5629;
 680.06958, 1078.3198;
 660.22717, 1083.3999;
 663.80096, 1102.0997;
 668.09009, 1116.0551;
 1270.0426, 1117.6658;
 539.6286, 1124.7578;
 1263.3463, 1124.8271;
 735.42511, 1125.2921;
 662.8028, 1152.2528;
 648.97321, 1159.4319;
 659.97437, 1211.1643;
 659.63586, 1223.3481;
 1302.0117, 1223.6663;
 660.17328, 1228.9351;
 1356.2679, 1240.0681;
 676.68567, 1258.4806;
 673.23145, 1274.1154;
 733.28754, 1315.4572;
 662.0835, 1319.1477;
 680.1557, 1329.1627;
 527.00726, 1336.3959;
 665.18671, 1337.2292;
 242.62054, 1340.2656;
 670.83636, 1342.0229;
 1149.5544, 1347.343;
 685.24139, 1347.5022;
 667.55945, 1350.5001;
 700.06281, 1353.1132;
 666.93903, 1364.5924;
 452.54611, 1377.9536;
 664.86432, 1380.4027;
 384.3526, 1385.8601;
 1303.7, 1385.7783;
 1295.3969, 1391.8986;
 673.11353, 1392.0078;
 682.73785, 1392.2205;
 1198.2946, 45.352055;
 207.49358, 53.188553;
 464.62979, 54.973457;
 504.28159, 55.678879;
 943.69708, 56.916332;
 495.5993, 57.895882;
 639.17297, 59.019276;
 92.585869, 60.373535;
 453.9191, 68.374039;
 801.09497, 69.554108;
 877.89856, 69.75235;
 373.27667, 70.977783;
 519.03467, 72.412781;
 773.86133, 72.059631;
 907.16919, 72.265968;
 597.54718, 77.005829;
 397.24588, 78.312943;
 369.99042, 79.139481;
 603.38385, 84.271027;
 423.39026, 87.920853;
 504.23846, 89.225441;
 1221.2864, 92.995377;
 678.06976, 94.415535;
 874.61041, 105.13844;
 481.6026, 108.98058;
 1015.5633, 108.63104;
 895.64911, 119.38044;
 1166.2922, 126.17459;
 287.77621, 129.14503;
 226.42441, 133.81052;
 845.38538, 133.93524;
 977.37811, 140.42133;
 302.85944, 143.90881;
 162.88475, 145.43913;
 549.86743, 145.44026;
 992.69464, 149.44887;
 367.08942, 151.17924;
 471.28992, 151.34378;
 86.822121, 153.49974;
 284.79486, 153.51936;
 1230.8401, 155.39236;
 454.16431, 166.30379;
 573.01489, 167.99178;
 387.30466, 169.75801;
 791.85028, 170.41641;
 459.6889, 173.85251;
 178.70303, 176.5123;
 477.08722, 176.48662;
 319.8316, 180.68217;
 739.16949, 184.39896;
 553.72675, 186.10017;
 330.44763, 190.05305;
 384.01059, 189.97049;
 320.87152, 190.81207;
 713.7735, 190.4731;
 569.95349, 193.00758;
 806.29962, 196.54572;
 395.38898, 197.65334;
 471.78751, 198.00728;
 743.55627, 198.18356;
 616.30798, 198.62871;
 1227.4963, 204.65013;
 440.90701, 212.13403;
 577.73016, 213.90465;
 999.96466, 214.87784;
 307.74557, 219.28096;
 557.92413, 222.00011;
 738.49878, 222.66942;
 751.4646, 225.42314;
 430.46899, 225.61629;
 1230.4963, 227.96645;
 734.86169, 230.14397;
 273.02615, 232.50069;
 833.05914, 232.6685;
 520.37952, 234.57857;
 942.1889, 238.38327;
