[611.53699, 44.215328;
 689.65277, 358.13486;
 773.20465, 359.03995;
 699.37305, 365.22412;
 653.91779, 367.09406;
 815.5946, 367.91193;
 84.09597, 375.24316;
 857.6969, 376.25311;
 678.11823, 376.81052;
 253.2252, 381.56683;
 1145.6876, 382.24091;
 469.70953, 385.72385;
 835.71063, 386.67188;
 696.05756, 387.60089;
 425.13177, 388.60562;
 715.75336, 392.17072;
 628.83051, 393.96649;
 741.14221, 399.25943;
 265.55783, 400.16742;
 423.93665, 400.94064;
 559.1532, 404.28683;
 702.24518, 404.41946;
 635.39941, 408.40781;
 107.2821, 410.73459;
 322.8671, 411.854;
 437.48431, 417.12766;
 729.01208, 420.97519;
 538.03278, 423.065;
 259.94131, 427.13202;
 831.86639, 431.29144;
 1306.7419, 434.70908;
 163.82071, 440.81216;
 415.02124, 442.08008;
 130.39862, 443.9928;
 718.97565, 444.72913;
 760.49542, 448.21515;
 481.70306, 449.98004;
 297.26721, 450.81662;
 639.53113, 452.27881;
 1298.5636, 454.29514;
 610.97852, 458.229;
 122.98267, 460.99652;
 349.60501, 462.47598;
 74.065361, 465.3837;
 119.03143, 468.87405;
 881.39362, 470.51599;
 569.8172, 475.90857;
 113.4013, 481.75708;
 191.79355, 482.93805;
 444.35553, 489.99753;
 749.11133, 489.5972;
 70.762245, 491.7887;
 410.52875, 492.32202;
 44.936672, 493.28891;
 106.46113, 495.80692;
 790.92517, 499.0871;
 451.79208, 502.48853;
 778.57373, 505.34274;
 222.65933, 509.08304;
 1064.8248, 508.79205;
 241.54683, 513.49432;
 632.07404, 513.68414;
 759.1637, 514.26874;
 74.55262, 521.32062;
 1245.8737, 522.61823;
 1297.8517, 525.95032;
 629.67224, 530.81647;
 747.92047, 533.60114;
 230.92311, 535.90411;
 621.16937, 538.44885;
 370.62158, 539.8587;
 679.68396, 545.03931;
 996.75903, 547.40363;
 527.23071, 548.651;
 1127.1313, 550.93488;
 1218.5654, 552.64636;
 1114.2432, 553.77673;
 364.84827, 561.86365;
 752.98322, 563.3349;
 783.37476, 563.3064;
 792.87103, 564.66748;
 90.072754, 571.65265;
 889.00665, 572.47955;
 705.53436, 577.2655;
 580.28442, 578.12177;
 688.20129, 577.87024;
 764.63892, 579.97034;
 796.38062, 580.09412;
 754.20306, 582.69421;
 470.93704, 586.69446;
 777.93567, 586.61108;
 656.74835, 588.95032;
 1358.9739, 588.94342;
 103.22242, 590.72681;
 960.33783, 592.46674;
 95.945023, 596.81091;
 142.35716, 598.18848;
 112.61727, 600.06525;
 249.7832, 599.6402;
 513.02136, 605.27026;
 708.16113, 604.94006;
 697.11139, 606.45569;
 605.55078, 610.604;
 739.98676, 612.32214;
 1136.5358, 614.81537;
 813.12543, 619.47357;
 911.56195, 621.67596;
 576.88678, 626.89893;
 742.69238, 628.23071;
 61.413036, 629.26196;
 712.64771, 628.59863;
 74.788391, 629.88623;
 1318.1842, 636.23761;
 155.98067, 637.06616;
 277.65591, 638.95862;
 1162.3685, 645.82385;
 105.48605, 651.23376;
 1176.9796, 658.58649;
 1319.1785, 659.92218;
 95.138832, 662.98029;
 105.18221, 662.84308;
 1254.3606, 662.58533;
 123.85203, 663.55237;
 330.39087, 666.28467;
 1152.2787, 665.92816;
 1168.9199, 670.15601;
 1165.8792, 681.43713;
 880.93811, 682.74042;
 1087.569, 684.02094;
 1097.3984, 684.73358;
 350.51547, 686.4046;
 1339.0554, 685.82263;
 448.25705, 688.57428;
 781.26678, 691.0943;
 238.54926, 692.72626;
 233.33495, 700.2511;
 685.82031, 701.00952;
 699.13214, 710.54224;
 728.08649, 711.68292;
 1133.7461, 714.64319;
 1401.713, 715.11102;
 1049.6509, 716.23712;
 1206.3787, 721.11279;
 977.40826, 724.21783;
 1312.8663, 732.98596;
 229.00424, 733.61786;
 149.75668, 735.16296;
 416.11591, 738.02606;
 652.20026, 738.60815;
 1146.2534, 738.89691;
 93.469337, 751.89832;
 385.40051, 754.89471;
 323.58737, 761.23938;
 717.66272, 762.35315;
 906.42297, 762.72955;
 102.97127, 766.02338;
 113.79732, 768.22125;
 771.86951, 773.59406;
 1404.0665, 776.73383;
 699.70117, 777.95563;
 697.95184, 789.80774;
 715.71582, 789.87128;
 770.30774, 791.63599;
 156.60866, 793.90332;
 724.24677, 796.33856;
 708.27673, 802.25433;
 1188.8992, 802.00671;
 145.8062, 805.97101;
 1348.3035, 808.20831;
 667.43134, 810.77509;
 756.27905, 814.13751;
 796.04291, 813.91351;
 207.63554, 819.81653;
 297.76379, 822.14001;
 763.07269, 821.68573;
 875.15942, 822.83502;
 623.20081, 825.11963;
 154.76498, 825.58643;
 164.29012, 825.51099;
 785.87762, 826.70233;
 485.81839, 830.69519;
 729.80182, 831.01355;
 289.78278, 837.85742;
 754.83649, 837.82953;
 1326.4071, 848.30084;
 1065.2592, 850.44861;
 165.15073, 851.95221;
 1318.2917, 852.07654;
 1309.6814, 854.7489;
 1318.7429, 861.53912;
 68.032066, 868.17676;
 771.66602, 874.29175;
 963.16229, 873.85492;
 760.58783, 880.18451;
 203.09134, 881.72156;
 210.55701, 882.99554;
 182.03622, 888.61487;
 717.64349, 891.58618;
 1088.4376, 893.84723;
 779.73657, 908.62042;
 1281.4965, 909.54395;
 142.22371, 915.80273;
 1087.8763, 917.35052;
 786.64368, 917.75555;
 753.77197, 921.25458;
 766.11047, 922.08459;
 1336.2067, 925.77753;
 1165.7356, 927.54706;
 286.94608, 933.84186;
 1215.5002, 933.95477;
 91.627533, 938.82855;
 780.30865, 938.77374;
 1180.2218, 943.9834;
 1151.9938, 949.80292;
 1376.9415, 953.81512;
 589.25897, 957.07959;
 847.64417, 956.54608;
 692.14685, 960.3078;
 597.58575, 961.23969;
 681.17072, 965.57043;
 710.30304, 971.64404;
 1057.9691, 972.83557;
 717.9007, 976.28986;
 312.38785, 979.27484;
 799.79388, 982.20392;
 716.73279, 984.73926;
 248.84557, 991.4173;
 708.97876, 996.41705;
 781.36401, 997.22076;
 448.3075, 998.09607;
 439.45404, 1003.976;
 814.2359, 1005.1675;
 1264.2755, 1006.9594;
 771.94897, 1015.6448;
 339.68707, 1017.4252;
 1331.3567, 1019.9498;
 206.16429, 1022.7277;
 773.6062, 1029.7075;
 202.97783, 1031.0657;
 1371.1182, 1035.8008;
 209.70319, 1038.432;
 700.14746, 1037.9646;
 1357.8341, 1040.7452;
 1160.2848, 1041.7397;
 775.98401, 1043.9296;
 365.36203, 1047.5601;
 696.34277, 1049.6781;
 429.05438, 1054.0886;
 193.72472, 1055.1738;
 772.07318, 1055.9664;
 266.86499, 1059.4551;
 1161.8184, 1064.1868;
 387.15784, 1064.6519;
 52.347851, 1067.5964;
 163.70944, 1073.865;
 736.27167, 1073.7866;
 447.16656, 1074.837;
 747.63104, 1080.2351;
 796.47583, 1081.1671;
 739.25146, 1086.5477;
 1268.3138, 1090.1833;
 862.69525, 1091.3887;
 157.75299, 1092.3738;
 792.7605, 1094.9784;
 1226.3398, 1099.7798;
 435.5838, 1104.1069;
 1254.8077, 1112.4524;
 784.13202, 1113.0344;
 296.88324, 1113.8496;
 721.74353, 1113.5757;
 121.97694, 1121.2396;
 218.61722, 1123.5769;
 650.03143, 1124.3981;
 725.62195, 1123.6957;
 747.54492, 1129.3218;
 120.07007, 1129.7131;
 1044.0242, 1129.7073;
 1113.9207, 1130.9927;
 972.71967, 1132.7035;
 736.77698, 1137.8359;
 631.51593, 1139.0739;
 662.01935, 1140.2209;
 217.63393, 1140.7639;
 181.19525, 1141.7198;
 788.48297, 1145.1909;
 742.24988, 1145.8263;
 731.06287, 1150.5614;
 885.24487, 1151.2831;
 742.18384, 1158.1788;
 432.19263, 1158.9181;
 730.39319, 1162.4177;
 1290.7244, 1163.8547;
 783.59985, 1165.3512;
 737.3689, 1165.5725;
 592.74011, 1169.4647;
 744.10266, 1170.8893;
 794.31445, 1172.9504;
 1164.1034, 1173.031;
 732.5213, 1176.0905;
 776.4071, 1177.3025;
 743.79724, 1180.3572;
 726.11554, 1181.2996;
 256.7868, 1182.8215;
 719.47119, 1185.2172;
 734.5813, 1186.5577;
 784.61017, 1186.9302;
 129.66328, 1189.4987;
 282.74915, 1189.4268;
 719.66571, 1194.618;
 978.87927, 1195.5272;
 727.83447, 1199.7441;
 523.53479, 1203.7096;
 819.70557, 1205.6975;
 556.93341, 1215.37;
 747.4386, 1214.7184;
 406.32791, 1218.5557;
 733.42834, 1219.5088;
 507.00653, 1219.5469;
 266.66672, 1221.9985;
 790.67279, 1223.5925;
 398.77634, 1229.2261;
 377.87143, 1234.9943;
 818.89465, 1239.6156;
 108.70984, 1240.5192;
 878.24353, 1243.1927;
 88.394478, 1246.3807;
 711.38855, 1247.1597;
 1182.4851, 1248.47;
 758.18665, 1249.887;
 1296.2295, 1249.6375;
 800.84943, 1251.9537;
 1258.6222, 1255.8523;
 825.89838, 1264.0726;
 130.5507, 1270.5155;
 815.40387, 1270.4369;
 319.75626, 1271.1794;
 1396.9655, 1280.1031;
 958.12671, 1281.1848;
 763.48285, 1281.8522;
 47.008404, 1284.5356;
 1081.082, 1288.0399;
 814.30322, 1290.2865;
 824.30334, 1292.6276;
 1339.3026, 1293.2803;
 753.50397, 1294.1595;
 1097.282, 1296.2429;
 821.1748, 1302.9353;
 355.85541, 1303.6268;
 830.09778, 1304.7181;
 1235.5195, 1307.2328;
 763.46106, 1309.2838;
 1266.7638, 1308.8844;
 1305.0483, 1309.8596;
 1297.9666, 1316.3549;
 749.73145, 1320.6733;
 759.3609, 1325.4045;
 1043.6083, 1327.9774;
 796.40143, 1332.2019;
 602.83307, 1335.7454;
 814.2644, 1336.0934;
 474.17261, 1336.9399;
 761.2262, 1338.4729;
 661.2561, 1344.443;
 791.4613, 1352.257;
 832.5517, 1352.1272;
 351.43652, 1352.593;
 360.13989, 1354.3281;
 496.81573, 1356.069;
 807.13275, 1356.3735;
 1188.7797, 1362.8739;
 59.02887, 1368.548;
 1116.9331, 1369.941;
 793.65741, 1373.2865;
 1333.9696, 1372.7465;
 1043.5259, 1373.9174;
 1002.2257, 1379.8821;
 615.28064, 1387.1813;
 780.25256, 1391.2424;
 793.21649, 1397.2687;
 203.49071, 1405.4575;
 1370.5725, 1405.1819;
 1353.5696, 1406.8834;
 919.86517, 1409.0065;
 967.328, 1409.6415;
 479.50894, 342.29254;
 691.59912, 378.98541;
 777.3031, 594.98956;
 753.79968, 1334.1194;
 552.25763, 59.513451;
 779.64771, 63.613419;
 528.74829, 64.93998;
 113.31612, 68.711235;
 553.33759, 71.026031;
 538.86945, 71.828781;
 523.17725, 73.334869;
 1044.4363, 72.554329;
 1394.6624, 73.192741;
 315.06555, 74.036713;
 674.93005, 79.726242;
 1112.2693, 89.881508;
 753.22583, 102.17102;
 122.95617, 105.07976;
 869.06268, 115.96962;
 380.16583, 117.60452;
 859.90802, 119.13297;
 371.44153, 121.65028;
 66.047844, 123.44154;
 340.75937, 124.09883;
 556.96204, 127.56795;
 482.56723, 129.24141;
 397.3053, 132.01247;
 343.38715, 136.10637;
 332.60281, 136.7077;
 565.61896, 138.73393;
 1117.8363, 139.04843;
 1132.8702, 147.72375;
 384.99457, 149.5564;
 254.24667, 155.40219;
 279.77121, 157.73276;
 1125.0834, 161.38336;
 571.91083, 164.97961;
 87.668739, 166.71608;
 233.97557, 167.69254;
 612.08185, 170.29774;
 1321.5094, 172.73441;
 367.39542, 174.41971;
 898.85388, 178.03442;
 691.79071, 180.13887;
 1313.8494, 181.05228;
 695.13531, 185.77965;
 115.62628, 188.20616;
 895.79407, 188.4967;
 685.55475, 190.61012;
 742.87115, 191.69775;
 157.49608, 196.56981;
 440.05835, 198.39006;
 145.36459, 202.51512;
 702.78448, 203.34491;
 633.93542, 204.09091;
 1185.9512, 205.23618;
 711.12323, 205.81186;
 1163.496, 209.14514;
 1174.3307, 211.42142;
 111.33929, 211.60788;
 610.63525, 214.87357;
 727.46289, 215.29762;
 639.65021, 216.23633;
 716.44208, 217.00401;
 1165.6643, 217.06575;
 364.29898, 218.00316;
 703.68103, 223.8118;
 79.269691, 224.82434;
 179.61742, 227.62007;
 639.0603, 230.18237;
 1126.8953, 230.89859;
 627.96124, 231.74693;
 261.71368, 235.49831;
 349.39581, 235.31404;
 631.60522, 234.92117;
 767.36108, 234.96764;
 726.19305, 239.88104;
 374.28003, 241.14595;
 640.14362, 241.38681;
 654.29169, 242.30193;
 915.70636, 241.741;
 120.23498, 243.01297;
 1178.7319, 244.66455;
 710.26855, 246.73518;
 704.83612, 249.03964;
 686.98102, 249.57118;
 799.92352, 251.07359;
 181.10989, 252.16914;
 654.72644, 255.41806;
 364.19226, 257.8476;
 644.19037, 259.03577;
 996.34125, 259.36374;
 479.92401, 261.11398;
 345.70416, 263.42755;
 372.72406, 263.48926;
 664.45044, 263.68179;
 59.593323, 266.0976;
 762.22595, 267.79288;
 284.47757, 270.41953;
 219.11095, 273.06598;
 754.03064, 277.27881;
 1164.5082, 277.0994;
 232.10661, 280.36761;
 222.45183, 282.86322;
 344.80829, 283.08899;
 704.1889, 283.5813;
 1239.3119, 283.66653;
 615.1134, 284.75931;
 357.98901, 286.92441;
 639.9046, 287.83768;
 426.63791, 291.15829;
 629.6297, 295.21976;
 715.68347, 294.7894;
 754.97546, 295.1759;
 162.83044, 295.71713;
 336.07657, 297.85898;
 356.77182, 298.90472;
 691.25507, 298.84674;
 674.3916, 300.95645;
 118.67965, 302.35709;
 347.02072, 302.82843;
 800.14667, 304.07202;
 770.74542, 307.78204;
 1342.0587, 307.74594;
 341.49017, 310.98907;
 758.39056, 316.82712;
 1361.2433, 317.99362;
 110.84415, 320.17307;
 1197.3237, 327.12671;
 782.36383, 327.81628;
 280.15826, 334.98297;
 1119.6208, 334.75262;
 705.46429, 337.10217;
 569.54718, 341.12021;
 1232.2338, 344.09573;
 780.4101, 346.17587;
 702.58252, 348.34521;
 93.753853, 355.68314;
 386.246, 357.28223;
 472.09949, 356.61786;
 690.10614, 357.77374;
 773.4101, 359.5354;
 1262.1454, 363.58566;
 700.61139, 365.56763;
 722.12891, 366.41217;
 826.91626, 367.49951;
 446.06082, 368.21469;
 815.08661, 368.12454;
 692.60553, 371.16901;
 857.28198, 375.4137;
 678.80975, 377.08539;
 253.09441, 381.20361;
 1145.6906, 382.20871;
 836.08807, 385.93625;
 1347.9589, 386.19876;
 1317.7372, 388.19504;
 425.41171, 389.25043;
 695.54974, 389.18665;
 735.95642, 391.13174;
 715.94604, 392.1615;
 629.47083, 393.26276;
 741.47327, 399.31015;
 423.71634, 400.94675;
 702.84998, 403.24268;
 636.15619, 408.99945;
 299.53635, 419.37268;
 370.73694, 420.19611;
 729.41217, 421.1041;
 1047.7241, 423.92639;
 625.58954, 425.75345;
 259.52118, 426.51999;
 831.7713, 431.02518;
 703.00018, 431.79721;
 773.97571, 433.46631;
 787.87598, 432.58441;
 415.53491, 442.19839;
 73.190239, 448.30008;
 759.77966, 447.90265;
 481.62323, 449.54852;
 738.06714, 449.50436;
 638.83539, 452.03052;
 610.90454, 458.45648;
 188.69229, 459.21518;
 754.52765, 459.49478;
 122.58934, 460.41071;
 1396.4535, 459.90509;
 349.3963, 462.33163;
 74.385597, 465.47144;
 293.33652, 469.29889;
 552.2655, 471.18567;
 809.58044, 471.10565;
 881.25574, 470.46405;
 570.01208, 476.05591;
 611.27997, 478.25162;
 191.82233, 482.90305;
 750.08813, 489.61545;
 70.104988, 491.04559;
 791.10541, 499.1001;
 705.22113, 504.8855;
 778.74847, 505.53735;
 223.02426, 508.88681;
 241.27223, 513.77374;
 632.2005, 513.8985;
 759.48273, 514.41388;
 748.49933, 517.95508;
 1245.2977, 523.24689;
 1298.047, 526.38788;
 741.80438, 526.57404;
 1260.37, 527.49054;
 629.66376, 530.86444;
 747.56445, 534.05457;
 621.39734, 538.2843;
 680.2688, 545.11096;
 774.24756, 546.56647;
 357.13254, 549.07306;
 1126.9406, 551.41095;
 1218.4003, 551.92871;
 785.2464, 552.59113;
 757.80823, 553.90088;
 1114.1417, 553.64423;
 1226.9823, 557.6153;
 272.99167, 560.7002;
 365.11438, 561.71008;
 782.57837, 563.41858;
 753.40918, 563.97192;
 793.1535, 564.13129;
 1012.2949, 571.06073;
 889.26398, 572.44379;
 780.40851, 573.72668;
 688.44873, 577.8526;
 704.57831, 577.92285;
 765.38092, 579.43329;
 796.73639, 580.14453;
 754.08228, 581.96082;
 806.53107, 582.73322;
 777.67548, 585.65088;
 470.80664, 587.23865;
 656.94714, 588.86542;
 1358.7625, 589.0293;
 318.7836, 590.53674;
 960.59015, 591.95343;
 701.56738, 593.46521;
 741.17114, 595.34235;
 96.092323, 597.08167;
 142.26308, 598.12463;
 590.30945, 598.89746;
 716.91949, 598.62244;
 112.17741, 600.23041;
 249.71497, 599.4234;
 84.969597, 602.95776;
 771.81592, 602.84149;
 495.06573, 605.00226;
 513.08887, 605.3515;
 708.32477, 605.26917;
 696.63824, 606.75189;
 605.91071, 610.7948;
 740.25073, 612.08368;
 778.56061, 612.33655;
 755.85712, 613.22632;
 168.16388, 615.38306;
 1137.4805, 614.9436;
 1174.7274, 617.9726;
 813.20007, 619.00238;
 911.74023, 621.24786;
 513.63947, 624.34943;
 760.50458, 623.66321;
 156.83345, 626.37756;
 576.38812, 627.38336;
 1119.7877, 627.2926;
 741.29236, 628.36292;
 711.62445, 628.64923;
 1303.9382, 629.70721;
 310.36423, 632.9588;
 156.00386, 637.61871;
 534.97375, 637.73853;
 277.49399, 638.72638;
 1150.6532, 645.5741;
 1162.3232, 645.62689;
 1370.2477, 647.4682;
 730.57208, 649.67212;
 1168.8508, 656.10773;
 771.54553, 657.92706;
 758.53375, 658.85175;
 1177.0988, 659.92566;
 1319.4214, 659.88757;
 390.00995, 661.37317;
 95.28389, 662.76123;
 105.19768, 662.53137;
 1152.0564, 665.75146;
 1337.0714, 665.9234;
 878.76843, 670.89136;
 1169.4006, 670.90405;
 1166.0061, 681.96344;
 881.58527, 682.88806;
 1087.2911, 683.93207;
 1338.7686, 685.97955;
 448.41901, 688.72198;
 780.74042, 690.77179;
 238.50041, 692.26031;
 1162.6018, 692.72339;
 693.9184, 694.70752;
 1141.5798, 697.5451;
 698.42938, 710.6391;
 727.99298, 712.01392;
 1133.7411, 714.81622;
 1369.717, 715.28143;
 144.48775, 718.9848;
 976.86115, 724.20587;
 723.87201, 728.00232;
 1312.1064, 733.43756;
 228.63293, 733.5072;
 415.80368, 737.57678;
 652.30695, 738.57562;
 1145.7174, 739.04285;
 472.23123, 751.87366;
 384.29861, 754.99957;
 707.70239, 756.65063;
 323.59854, 760.99847;
 905.37781, 762.20349;
 718.36957, 762.70789;
 113.01117, 767.84973;
 744.3288, 771.31842;
 761.51355, 772.23376;
 771.7041, 773.54767;
 206.54547, 774.60339;
 752.84003, 776.70203;
 699.87311, 777.61896;
 766.0744, 783.37958;
 95.54924, 783.82867;
 872.51147, 784.05286;
 417.81689, 789.91187;
 715.5307, 790.11115;
 771.35254, 791.72345;
 156.94688, 793.87299;
 724.60712, 796;
 305.55341, 797.47461;
 760.45453, 796.99487;
 707.60144, 802.28754;
 145.33257, 806.64008;
 1348.488, 807.72418;
 719.16583, 808.67712;
 1116.203, 808.62384;
 666.99341, 810.79175;
 756.01642, 814.18628;
 796.16162, 814.27167;
 726.88257, 817.58435;
 875.4809, 822.93896;
 154.5446, 825.4248;
 164.54485, 825.43628;
 174.48399, 824.94861;
 623.12781, 824.80072;
 786.04242, 826.75616;
 486.11588, 831.14648;
 729.9458, 831.18988;
 1275.1638, 835.46991;
 754.56915, 837.99054;
 221.14221, 841.87628;
 748.74365, 846.54785;
 1064.8887, 850.8681;
 717.64532, 852.41736;
 1318.1492, 851.88367;
 165.1889, 852.84778;
 757.31244, 858.30151;
 293.20181, 859.68542;
 279.71719, 860.69067;
 777.2243, 861.76727;
 1311.0656, 864.12769;
 765.92975, 871.16138;
 849.27972, 872.78192;
 963.17194, 873.16675;
 1209.156, 873.0976;
 770.84546, 873.67615;
 1306.0476, 873.52148;
 1038.0159, 874.62787;
 518.27277, 876.80792;
 207.821, 882.66016;
 181.19286, 888.40833;
 781.52045, 890.5614;
 717.61029, 891.62347;
 772.12061, 893.2915;
 1088.7474, 894.28955;
 1096.9442, 905.16241;
 1055.0171, 906.07477;
 779.94293, 908.03693;
 1281.1888, 909.24835;
 767.52075, 910.72076;
 142.40985, 915.76807;
 131.97513, 916.5257;
 1087.4027, 917.29395;
 786.73523, 917.7146;
 684.74731, 920.60205;
 754.58514, 921.92725;
 765.54614, 921.8772;
 1153.8385, 925.23254;
 779.69281, 928.07898;
 1165.233, 927.67627;
 286.29663, 933.72607;
 1215.8419, 933.78632;
 780.30902, 937.68085;
 1199.0062, 939.87781;
 1126.6116, 942.91559;
 1177.9127, 942.79437;
 847.94965, 956.27618;
 588.73492, 957.17078;
 790.02966, 958.40289;
 691.86188, 960.30646;
 364.02759, 962.56134;
 764.17352, 963.69684;
 680.44666, 965.32391;
 689.39978, 972.42572;
 711.57477, 972.10132;
 1355.686, 971.65698;
 773.64301, 973.37347;
 455.38269, 977.50385;
 312.67401, 979.55713;
 717.73114, 979.80829;
 685.85114, 981.8136;
 799.75232, 981.85016;
 743.65887, 983.11487;
 248.89615, 991.49365;
 490.98108, 992.97839;
 722.24066, 994.59393;
 781.95349, 996.85144;
 708.31085, 998.48425;
 1247.3545, 999.11835;
 439.59491, 1004.3564;
